Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,117,0,3,2.863653846190542,1.7238000000361353,16.994999983580783,521.0,4.463776056203892,0.0,3,3,3,3,3,4,6,8,17,17,17
GET,GET /book/Fall Classic/Simply Lift,31,0,3,3.1111096773642086,2.3249000078067183,16.517899988684803,840.0,1.18270989523351,0.0,3,3,3,3,3,3,17,17,17,17,17
GET,GET /points,52,0,2,2.855065386728921,1.832099980674684,17.162100004497916,578.0,1.9839004694239522,0.0,3,3,3,3,3,4,4,17,17,17,17
POST,POST /purchasePlaces,110,0,3,3.411788183042187,2.105600025970489,17.47570000588894,1406.0,4.196712531473745,0.0,3,3,3,3,4,4,17,17,17,17,17
POST,POST /showSummary,20,0,3,3.1272849984816276,2.6485999987926334,4.801999981282279,1198.0,0.7630386420861355,0.0,3,3,3,3,4,5,5,5,5,5,5
,Aggregated,330,0,3,3.0842354552023057,1.7238000000361353,17.47570000588894,895.9787878787879,12.590137594421234,0.0,3,3,3,3,4,4,8,17,17,17,17
